unix,low,high,open,close,volume,date,vol_fiat
1590019200,2.5659,2.8513,2.8231,2.6428,2761534.68,2020-05-21,7298183.8523039995
1589932800,2.7001,2.8915,2.84,2.8185,2744618.95,2020-05-20,7735708.510575
1589846400,2.6284,2.84,2.7581,2.8399,3319565.7,2020-05-19,9427234.63143
1589760000,2.6175,2.7719,2.6185,2.7587,2293405.4,2020-05-18,6326817.47698
1589673600,2.602,2.69,2.6282,2.6199,1739271.43,2020-05-17,4556717.219457
1589587200,2.471,2.6668,2.4906,2.6312,2742093.82,2020-05-16,7214997.259184
1589500800,2.4405,2.556,2.5475,2.4879,1963577.67,2020-05-15,4885184.885193
1589414400,2.5,2.6168,2.5735,2.546,1511696.65,2020-05-14,3848779.6708999993
1589328000,2.4885,2.5933,2.5128,2.5735,1259354.25,2020-05-13,3240948.1623750003
1589241600,2.4155,2.5938,2.4296,2.5135,1977928.38,2020-05-12,4971522.98313
1589155200,2.2602,2.5962,2.5573,2.426,4001280.83,2020-05-11,9707107.293580001
1589068800,2.346,2.8138,2.81,2.5628,6305465.82,2020-05-10,16159647.803496001
1588982400,2.72,2.9699,2.7567,2.8099,3532254.86,2020-05-09,9925282.931114
1588896000,2.6884,2.82,2.7202,2.7543,2729281.67,2020-05-08,7517260.503681
1588809600,2.6135,2.8092,2.6538,2.7192,2612367.04,2020-05-07,7103548.4551679995
1588723200,2.6435,2.8066,2.7534,2.6539,1735270.23,2020-05-06,4605233.663397
1588636800,2.7041,2.836,2.781,2.7546,1735349.92,2020-05-05,4780194.889632
1588550400,2.5907,2.8554,2.7422,2.7866,3436466.57,2020-05-04,9576057.743962
1588464000,2.6687,2.8824,2.8383,2.7419,2242143.02,2020-05-03,6147731.946537999
1588377600,2.7768,2.8687,2.7978,2.8384,1697963.64,2020-05-02,4819499.9957759995
1588291200,2.7505,2.9499,2.7513,2.7956,3251408.26,2020-05-01,9089636.931656
1588204800,2.6908,3.0479,2.9382,2.7563,5403898.19,2020-04-30,14894764.581097001
1588118400,2.75,3.0189,2.7521,2.9396,5357618.71,2020-04-29,15749255.959916
1588032000,2.6632,2.816,2.7499,2.7544,3022772.88,2020-04-28,8325925.620672
1587945600,2.5565,2.79,2.7671,2.7499,3965538.73,2020-04-27,10904834.953627
1587859200,2.7252,2.87,2.87,2.7671,3580771.56,2020-04-26,9908352.983676001
1587772800,2.6415,2.89,2.72,2.87,3939855.64,2020-04-25,11307385.686800001
1587686400,2.495,2.7699,2.4951,2.7169,6117350.45,2020-04-24,16620229.437605
